fornecedor;data_emissao
A2M;23/12/2024
A2M;23/12/2024
A2M;24/01/2025
A2M;25/02/2025
A2M;26/05/2025
Agriq;13/01/2025
Agriq;10/03/2025
Agriq;08/05/2025
Agriq;06/06/2025
Agriq;03/07/2025
Alstra;04/01/2024
Alstra;04/01/2024
Alstra;04/01/2024
Alstra;04/01/2024
Alstra;04/01/2024
Alstra;04/01/2024
Alstra;04/01/2024
Alstra;04/01/2024
Alstra;04/01/2024
Alstra;04/01/2024
Alstra;04/01/2024
Alstra;06/02/2024
Alstra;06/02/2024
Alstra;06/02/2024
Alstra;06/02/2024
Alstra;06/02/2024
Alstra;06/02/2024
Alstra;06/02/2024
Alstra;06/02/2024
Alstra;06/02/2024
Alstra;06/02/2024
Alstra;06/02/2024
Alstra;09/03/2024
Alstra;09/03/2024
Alstra;09/03/2024
Alstra;09/03/2024
Alstra;03/04/2024
Alstra;03/04/2024
Alstra;03/04/2024
Alstra;03/04/2024
Alstra;03/04/2024
Alstra;03/05/2024
Alstra;03/05/2024
Alstra;03/05/2024
Alstra;03/05/2024
Alstra;03/05/2024
Alstra;03/05/2024
Alstra;03/05/2024
Alstra;03/06/2024
Alstra;03/06/2024
Alstra;03/06/2024
Alstra;03/06/2024
Alstra;03/06/2024
Alstra;03/06/2024
Alstra;06/06/2024
Alstra;03/07/2024
Alstra;03/07/2024
Alstra;03/07/2024
Alstra;03/07/2024
Alstra;03/07/2024
Alstra;03/07/2024
Alstra;03/07/2024
Alstra;01/09/2024
Alstra;01/09/2024
Alstra;01/09/2024
Alstra;05/09/2024
Alstra;02/10/2024
Alstra;02/10/2024
Alstra;02/10/2024
Alstra;02/10/2024
Alstra;02/10/2024
Alstra;02/10/2024
Alstra;02/10/2024
Alstra;02/10/2024
Alstra;03/12/2024
Alstra;03/12/2024
Alstra;03/12/2024
Alstra;03/12/2024
Alstra;03/12/2024
Alstra;03/12/2024
Alstra;03/12/2024
Alstra;02/01/2025
Alstra;02/01/2025
Alstra;02/01/2025
Alstra;02/01/2025
Alstra;02/01/2025
Alstra;23/01/2025
Alstra;03/02/2025
Alstra;03/02/2025
Alstra;03/02/2025
Alstra;03/02/2025
Alstra;03/02/2025
Alstra;06/03/2025
Alstra;06/03/2025
Alstra;06/03/2025
Alstra;06/03/2025
Alstra;06/03/2025
Alstra;11/06/2025
Alstra;01/07/2025
Alstra;07/07/2025
Alstra;07/07/2025
Antebellum;09/06/2024
Antebellum;09/07/2024
Atos;04/09/2024
Atos;04/09/2024
Atos;01/10/2024
Atos;02/12/2024
Atos;02/01/2025
Atos;02/02/2025
Atos;03/03/2025
Atos;01/04/2025
Atos;02/05/2025
Atos;02/06/2025
Atos;01/07/2025
BLUE Sistemas de Informatica LTDA;09/06/2025
BLUE Sistemas de Informatica LTDA;03/07/2025
Bolt;30/04/2025
Bolt;04/07/2025
Boxware;02/01/2025
Boxware;11/03/2025
Brasoftware;13/05/2025
Brasoftware;13/05/2025
Brasoftware;13/05/2025
Brasoftware;26/06/2025
Brasoftware;27/06/2025
Brasoftware;03/07/2025
Brasoftware;07/07/2025
Brasoftware;15/07/2025
Bubble BPM;15/06/2025
Bubble BPM;15/07/2025
Claro;24/04/2023
Claro;23/12/2023
Claro;24/01/2024
Claro;20/02/2024
Claro;23/03/2024
Claro;24/05/2024
Claro;22/06/2024
Claro;23/07/2024
Claro;24/08/2024
Claro;20/09/2024
Claro;26/10/2024
Claro;23/11/2024
Claro;21/12/2024
Claro;22/02/2025
Claro;22/03/2025
Claro;23/04/2025
Claro;23/04/2025
Claro;23/05/2025
Claro;23/05/2025
Claro;21/06/2025
Correa & Porfírio;30/12/2023
Correa & Porfírio;30/01/2024
CRM;03/02/2024
CRM;15/02/2024
CRM;27/02/2024
CRM;29/02/2024
CRM;01/03/2024
CRM;01/04/2024
CRM;01/04/2024
CRM;02/05/2024
CRM;08/05/2024
CRM;08/05/2024
CRM;10/05/2024
CRM;04/06/2024
CRM;04/06/2024
CRM;11/06/2024
CRM;27/06/2024
CRM;01/07/2024
CRM;01/07/2024
CRM;04/07/2024
CRM;01/08/2024
CRM;01/08/2024
CRM;01/08/2024
CRM;01/08/2024
CRM;02/09/2024
CRM;01/10/2024
CRM;01/10/2024
CRM;03/12/2024
CRM;02/01/2025
CRM;03/02/2025
CRM;01/03/2025
CRM;01/04/2025
CRM/Labs;08/01/2025
CRM/Labs;19/03/2025
CRM/Labs;29/04/2025
CRM/Labs;01/05/2025
CRM/Labs;02/06/2025
CRM/Labs;01/07/2025
Dell;17/12/2024
Dell;17/01/2025
Demerge (GoDaddy);16/08/2024
Demerge (GoDaddy);16/09/2024
Docusign;05/03/2025
Docusign;05/03/2025
Docusign;05/03/2025
Docusign;02/04/2025
Docusign;02/04/2025
Docusign;02/04/2025
Docusign;10/04/2025
Docusign;07/05/2025
Docusign;07/05/2025
Docusign;07/05/2025
Docusign;10/05/2025
Docusign;04/06/2025
Docusign;04/06/2025
Docusign;04/06/2025
Docusign;04/06/2025
Docusign;02/07/2025
Docusign;02/07/2025
Docusign;02/07/2025
Fabricio Lima - Solucoes em Banco de Dados LTDA;01/06/2025
Fabricio Lima - Solucoes em Banco de Dados LTDA;01/07/2025
Fast Shop;20/12/2024
Fast Shop;20/12/2024
Fast Shop;20/01/2025
GEORGE LUIS DE JESUS;14/01/2025
GEORGE LUIS DE JESUS;29/05/2025
GEP;15/05/2024
GEP;17/06/2024
GEP;16/07/2024
GEP;16/08/2024
GEP;16/09/2024
GEP;15/10/2024
GEP;14/11/2024
GEP;14/11/2024
GEP;16/01/2025
GEP;17/02/2025
Godaddy/Demerge;13/03/2025
Godaddy/Demerge;21/05/2025
H2L;10/03/2025
H2L;01/07/2025
L3TI;26/02/2024
L3TI;22/01/2025
L3TI;22/01/2025
L3TI;16/05/2025
L3TI;16/05/2025
L3TI;04/07/2025
Leandra Lucas;27/04/2024
Leandra Lucas;27/05/2024
Lenovo;29/01/2024
Lenovo;11/04/2024
Lenovo;11/04/2024
Lenovo;11/07/2024
Lenovo;17/07/2024
Lenovo;22/07/2024
Lenovo;16/10/2024
Lenovo;21/11/2024
Lenovo;04/12/2024
Lenovo;05/12/2024
Lenovo;20/01/2025
Lenovo;20/01/2025
Lenovo;01/02/2025
Lenovo;27/02/2025
Lenovo;08/05/2025
Lenovo;25/06/2025
Macabacus;09/02/2024
Macabacus;09/03/2024
Noventiq;23/01/2024
Noventiq;23/01/2024
Noventiq;26/02/2024
Noventiq;13/03/2024
Noventiq;18/04/2024
Noventiq;30/05/2024
Noventiq;17/06/2024
Noventiq;12/07/2024
Noventiq;12/07/2024
Noventiq;14/08/2024
Noventiq;24/09/2024
Noventiq;27/09/2024
Noventiq;18/10/2024
Noventiq;14/11/2024
Noventiq;22/11/2024
Noventiq;16/12/2024
Noventiq;21/01/2025
Noventiq;17/02/2025
Noventiq;28/03/2025
Online GestÆo ;02/05/2025
Online GestÆo ;02/06/2025
Pars;02/08/2024
Pars;02/08/2024
Pars;06/04/2025
Pars;14/07/2025
PayPro Global, Inc.;30/03/2024
PayPro Global, Inc.;30/04/2024
Performait;08/05/2025
Performait;03/06/2025
Performait;05/06/2025
RDR;07/04/2024
RDR;07/05/2024
Rondoinfo;09/01/2024
Rondoinfo;09/01/2024
Rondoinfo;22/01/2024
Rondoinfo;14/01/2025
RP Inform tica;24/03/2025
RP Inform tica;24/04/2025
Salesforce;02/10/2024
Salesforce;01/04/2025
SEK;17/05/2024
SEK;17/05/2024
SEK;05/07/2024
SEK;05/07/2024
SEK;04/09/2024
SEK;04/09/2024
SEK;09/10/2024
SEK;09/10/2024
SEK;05/11/2024
SEK;05/11/2024
SEK;16/12/2024
SEK;16/12/2024
SEK;10/01/2025
SEK;10/01/2025
SEK;11/02/2025
SEK;11/02/2025
SEK;06/03/2025
SEK;06/03/2025
SEK;04/04/2025
SEK;04/04/2025
SEK;04/04/2025
Siagri/AgriQ;29/12/2023
Siagri/AgriQ;29/12/2023
Siagri/AgriQ;21/02/2024
Siagri/AgriQ;08/03/2024
Siagri/AgriQ;19/04/2024
Siagri/AgriQ;21/05/2024
Siagri/AgriQ;07/06/2024
Siagri/AgriQ;08/07/2024
Siagri/AgriQ;21/08/2024
Siagri/AgriQ;09/09/2024
Siagri/AgriQ;07/10/2024
Siagri/AgriQ;07/11/2024
Siagri/AgriQ;09/12/2024
Sintegra;27/04/2024
Sintegra;27/05/2024
Skyone;22/08/2024
Skyone;22/08/2024
Skyone;22/08/2024
Skyone;22/08/2024
Skyone;11/09/2024
Skyone;17/10/2024
Skyone;11/11/2024
Skyone;11/11/2024
Skyone;06/12/2024
Skyone;06/12/2024
Skyone;11/12/2024
Skyone;11/12/2024
Skyone;11/12/2024
Skyone;12/12/2024
Skyone;12/12/2024
Skyone;30/12/2024
Skyone;30/12/2024
Skyone;09/01/2025
Skyone;09/01/2025
Skyone;11/02/2025
Skyone;11/02/2025
Skyone;02/05/2025
Skyone;02/05/2025
Skyone;10/05/2025
Skyone;10/05/2025
Skyone;10/06/2025
Skyone;10/06/2025
Skyone;01/07/2025
Skyone;01/07/2025
Skyone;09/07/2025
Skyone;09/07/2025
Softficha;15/12/2023
Softficha;15/01/2024
Software;05/03/2024
Software;11/04/2024
Software;01/10/2024
Software;12/02/2025
SSD Tecnologia da Informacao LTDA;08/06/2025
SSD Tecnologia da Informacao LTDA;08/07/2025
